venue,innings,batting_team,bowling_team,batsmen,bowler,total_runs
"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,Punjab Kings,"JM Bairstow, V Shankar, DA Warner","AS Rajpoot, Mohammed Shami, Mujeeb Ur Rahman",27
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Sunrisers Hyderabad,"KL Rahul, CH Gayle, MA Agarwal","Rashid Khan, Sandeep Sharma, Mohammad Nabi, B Kumar",38
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,"N Rana, KD Karthik, Shubman Gill, SP Narine, CA Lynn, RV Uthappa","Harbhajan Singh, RA Jadeja, DL Chahar",29
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,"SK Raina, SR Watson, AT Rayudu, F du Plessis","PP Chawla, SP Narine, M Prasidh Krishna",40
"Wankhede Stadium, Mumbai",1,Punjab Kings,Mumbai Indians,"KL Rahul, CH Gayle","JP Behrendorff, JJ Bumrah, AS Joseph",50
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Punjab Kings,"Q de Kock, SA Yadav, SD Lad","AS Rajpoot, Mohammed Shami, GC Viljoen",50
Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,"JC Buttler, SV Samson, AM Rahane, RA Tripathi, SPD Smith","MJ Santner, SN Thakur, DL Chahar",54
Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,"KM Jadhav, SK Raina, AT Rayudu, F du Plessis, SR Watson, MS Dhoni","DS Kulkarni, JC Archer, JD Unadkat",24
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,"Shubman Gill, JL Denly, RV Uthappa","AR Patel, K Rabada, CH Morris, I Sharma",41
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,"RR Pant, PP Shaw, S Dhawan, SS Iyer","LH Ferguson, AD Russell, M Prasidh Krishna",57
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Rajasthan Royals,"Q de Kock, RG Sharma","DS Kulkarni, K Gowtham, JD Unadkat, JC Archer",57
"Wankhede Stadium, Mumbai",2,Rajasthan Royals,Mumbai Indians,"JC Buttler, AM Rahane","JP Behrendorff, JJ Bumrah, AS Joseph, RD Chahar",59
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Royal Challengers Bangalore,"KL Rahul, CH Gayle","Mohammed Siraj, UT Yadav, NA Saini",60
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Punjab Kings,"PA Patel, AB de Villiers, V Kohli","Mohammed Shami, SM Curran, R Ashwin, M Ashwin",63
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"N Rana, CA Lynn, SP Narine","MJ Santner, SN Thakur, RA Jadeja, DL Chahar",49
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"SK Raina, SR Watson, AT Rayudu, F du Plessis","AD Russell, HF Gurney, SP Narine, M Prasidh Krishna",44
"Rajiv Gandhi International Stadium, Uppal",1,Delhi Capitals,Sunrisers Hyderabad,"PP Shaw, C Munro, S Dhawan, SS Iyer","Sandeep Sharma, KK Ahmed, B Kumar",51
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Delhi Capitals,"JM Bairstow, DA Warner","K Rabada, CH Morris, I Sharma",40
"Wankhede Stadium, Mumbai",1,Royal Challengers Bangalore,Mumbai Indians,"PA Patel, AB de Villiers, V Kohli","JJ Bumrah, JP Behrendorff, SL Malinga",45
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Royal Challengers Bangalore,"Q de Kock, RG Sharma","YS Chahal, Mohammed Siraj, UT Yadav, NA Saini",67
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Rajasthan Royals,"KL Rahul, CH Gayle, MA Agarwal","DS Kulkarni, JC Archer, JD Unadkat",39
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Punjab Kings,"SV Samson, RA Tripathi, JC Buttler","Arshdeep Singh, Mujeeb Ur Rahman",54
"Rajiv Gandhi International Stadium, Uppal",1,Chennai Super Kings,Sunrisers Hyderabad,"SR Watson, F du Plessis","Sandeep Sharma, KK Ahmed, B Kumar",41
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Chennai Super Kings,"JM Bairstow, KS Williamson, DA Warner","Imran Tahir, SN Thakur, DL Chahar",68
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Capitals,"Q de Kock, RG Sharma","K Rabada, KMA Paul, CH Morris, I Sharma",57
Arun Jaitley Stadium,2,Delhi Capitals,Mumbai Indians,"PP Shaw, S Dhawan","SL Malinga, HH Pandya, J Yadav, JJ Bumrah, RD Chahar",48
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,"PA Patel, AD Nath, V Kohli","HF Gurney, SP Narine, M Prasidh Krishna",42
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,"N Rana, Shubman Gill, SP Narine, CA Lynn, RV Uthappa","DW Steyn, Mohammed Siraj, NA Saini",37
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"Q de Kock, RG Sharma, SA Yadav","DS Kulkarni, STR Binny, S Gopal, JC Archer, JD Unadkat",46
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,"SV Samson, SPD Smith, AM Rahane","KH Pandya, SL Malinga, HH Pandya, JJ Bumrah, RD Chahar",60
Arun Jaitley Stadium,1,Punjab Kings,Delhi Capitals,"KL Rahul, CH Gayle, MA Agarwal, DA Miller","S Lamichhane, K Rabada, I Sharma",50
Arun Jaitley Stadium,2,Delhi Capitals,Punjab Kings,"PP Shaw, S Dhawan, SS Iyer","Mohammed Shami, SM Curran, Harpreet Brar, GC Viljoen, R Ashwin",60
"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Sunrisers Hyderabad,"Shubman Gill, N Rana, CA Lynn, SP Narine","Sandeep Sharma, KK Ahmed, B Kumar, S Nadeem",61
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Kolkata Knight Riders,"JM Bairstow, DA Warner","KC Cariappa, Y Prithvi Raj, HF Gurney, PP Chawla, SP Narine",72
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"PA Patel, AB de Villiers, V Kohli","SN Thakur, DL Chahar",49
M.Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"KM Jadhav, SK Raina, AT Rayudu, F du Plessis, SR Watson, MS Dhoni","DW Steyn, UT Yadav, NA Saini",32
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Capitals,"SPD Smith, AM Rahane","K Rabada, AR Patel, I Sharma",52
Sawai Mansingh Stadium,2,Delhi Capitals,Rajasthan Royals,"PP Shaw, S Dhawan","DS Kulkarni, STR Binny, S Gopal, JC Archer, JD Unadkat",59
MA Chidambaram Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"JM Bairstow, MK Pandey, DA Warner","Harbhajan Singh, DL Chahar",54
MA Chidambaram Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,"SK Raina, SR Watson, F du Plessis","Sandeep Sharma, KK Ahmed, Shakib Al Hasan, B Kumar",49
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,"PA Patel, AB de Villiers, V Kohli","AS Rajpoot, Mohammed Shami",70
M.Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,"KL Rahul, CH Gayle, MA Agarwal","YS Chahal, UT Yadav, TG Southee, NA Saini",68
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,"N Rana, KD Karthik, CA Lynn, Shubman Gill","JC Archer, O Thomas, VR Aaron",32
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,"SV Samson, SPD Smith, AM Rahane","Y Prithvi Raj, AD Russell, SP Narine, CR Brathwaite, M Prasidh Krishna",55
MA Chidambaram Stadium,1,Mumbai Indians,Chennai Super Kings,"Q de Kock, RG Sharma, E Lewis","Harbhajan Singh, DL Chahar",45
MA Chidambaram Stadium,2,Chennai Super Kings,Mumbai Indians,"M Vijay, KM Jadhav, SK Raina, AT Rayudu, SR Watson","HH Pandya, KH Pandya, JJ Bumrah, SL Malinga",40
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"KS Williamson, MK Pandey, DA Warner","S Gopal, O Thomas, JD Unadkat, VR Aaron",51
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"LS Livingstone, AM Rahane","KK Ahmed, S Kaul, Rashid Khan, Shakib Al Hasan, B Kumar",60
Arun Jaitley Stadium,1,Delhi Capitals,Royal Challengers Bangalore,"PP Shaw, S Dhawan, SS Iyer","YS Chahal, UT Yadav, Washington Sundar, NA Saini",59
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Capitals,"PA Patel, AB de Villiers, V Kohli","S Lamichhane, K Rabada, AR Patel, I Sharma",64
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"Shubman Gill, CA Lynn","BB Sran, KH Pandya, JJ Bumrah, SL Malinga",50
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"Q de Kock, RG Sharma, SA Yadav, E Lewis","HF Gurney, S Sandeep Warrier, SP Narine",41
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Punjab Kings,"WP Saha, DA Warner","Arshdeep Singh, Mohammed Shami, Mujeeb Ur Rahman, R Ashwin",77
"Rajiv Gandhi International Stadium, Uppal",2,Punjab Kings,Sunrisers Hyderabad,"KL Rahul, CH Gayle, MA Agarwal","Sandeep Sharma, Rashid Khan, KK Ahmed, B Kumar",44
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"PA Patel, Gurkeerat Singh, H Klaasen, P Negi, MP Stoinis, AB de Villiers, V Kohli, NA Saini","R Parag, VR Aaron, O Thomas, S Gopal, JD Unadkat",62
M.Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"SV Samson, LS Livingstone","YS Chahal, UT Yadav, NA Saini, K Khejroliya",41
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,"SK Raina, SR Watson, F du Plessis","AR Patel, J Suchith, TA Boult, CH Morris",27
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,"RR Pant, PP Shaw, S Dhawan, SS Iyer","Harbhajan Singh, DL Chahar",59
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Sunrisers Hyderabad,"Q de Kock, RG Sharma, SA Yadav","Rashid Khan, KK Ahmed, Mohammad Nabi, B Kumar",44
"Wankhede Stadium, Mumbai",2,Sunrisers Hyderabad,Mumbai Indians,"KS Williamson, MJ Guptill, WP Saha, MK Pandey","BB Sran, JJ Bumrah, SL Malinga",59
"Wankhede Stadium, Mumbai",3,Sunrisers Hyderabad,Mumbai Indians,"MJ Guptill, Mohammad Nabi, MK Pandey",JJ Bumrah,8
"Wankhede Stadium, Mumbai",4,Mumbai Indians,Sunrisers Hyderabad,"HH Pandya, KA Pollard",Rashid Khan,9
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Kolkata Knight Riders,"KL Rahul, CH Gayle, MA Agarwal, N Pooran","HF Gurney, S Sandeep Warrier, SP Narine",41
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Punjab Kings,"Shubman Gill, CA Lynn","Arshdeep Singh, Mohammed Shami, R Ashwin, AJ Tye",62
Arun Jaitley Stadium,1,Rajasthan Royals,Delhi Capitals,"R Parag, LS Livingstone, SV Samson, S Gopal, MK Lomror, AM Rahane","TA Boult, AR Patel, I Sharma",30
Arun Jaitley Stadium,2,Delhi Capitals,Rajasthan Royals,"RR Pant, PP Shaw, S Dhawan, SS Iyer","VR Aaron, O Thomas, K Gowtham, S Gopal, IS Sodhi",46
M.Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"MJ Guptill, WP Saha, MK Pandey","YS Chahal, UT Yadav, NA Saini",52
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"PA Patel, Gurkeerat Singh, SO Hetmyer, AB de Villiers, V Kohli","Rashid Khan, KK Ahmed, B Kumar",49
"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Punjab Kings,"SK Raina, SR Watson, F du Plessis","Harpreet Brar, Mohammed Shami, R Ashwin, SM Curran",42
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Chennai Super Kings,"KL Rahul, CH Gayle","DJ Bravo, Harbhajan Singh, DL Chahar",68
"Wankhede Stadium, Mumbai",1,Kolkata Knight Riders,Mumbai Indians,"Shubman Gill, CA Lynn","KH Pandya, MJ McClenaghan, SL Malinga, JJ Bumrah, RD Chahar",49
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Kolkata Knight Riders,"Q de Kock, RG Sharma","AD Russell, HF Gurney, S Sandeep Warrier, SP Narine",46
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,"SK Raina, SR Watson, M Vijay, F du Plessis","KH Pandya, SL Malinga, J Yadav, JJ Bumrah, RD Chahar",32
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,"Q de Kock, RG Sharma, SA Yadav, Ishan Kishan","Harbhajan Singh, DL Chahar",44
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Delhi Capitals,"MJ Guptill, WP Saha, MK Pandey","TA Boult, AR Patel, I Sharma",54
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Delhi Capitals,Sunrisers Hyderabad,"PP Shaw, S Dhawan","Rashid Khan, KK Ahmed, Mohammad Nabi, B Kumar",55
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Capitals,Chennai Super Kings,"PP Shaw, C Munro, S Dhawan, SS Iyer","Harbhajan Singh, SN Thakur, DL Chahar",41
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Chennai Super Kings,Delhi Capitals,"SR Watson, F du Plessis","TA Boult, AR Patel, I Sharma",42
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Chennai Super Kings,"Q de Kock, RG Sharma, SA Yadav, Ishan Kishan","Harbhajan Singh, SN Thakur, DL Chahar",45
"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Mumbai Indians,"SK Raina, SR Watson, F du Plessis","KH Pandya, MJ McClenaghan, JJ Bumrah, SL Malinga",53
Sheikh Zayed Stadium,1,Mumbai Indians,Chennai Super Kings,"Q de Kock, SS Tiwary, RG Sharma, SA Yadav","L Ngidi, SM Curran, PP Chawla, DL Chahar",51
Sheikh Zayed Stadium,2,Chennai Super Kings,Mumbai Indians,"F du Plessis, M Vijay, AT Rayudu, SR Watson","TA Boult, JJ Bumrah, JL Pattinson",37
Dubai International Cricket Stadium,1,Delhi Capitals,Punjab Kings,"RR Pant, PP Shaw, S Dhawan, SO Hetmyer, SS Iyer","CJ Jordan, Mohammed Shami, SS Cottrell",23
Dubai International Cricket Stadium,2,Punjab Kings,Delhi Capitals,"KL Rahul, GJ Maxwell, KK Nair, MA Agarwal, N Pooran","A Nortje, R Ashwin, MM Sharma, K Rabada",35
Dubai International Cricket Stadium,3,Punjab Kings,Delhi Capitals,"KL Rahul, N Pooran",K Rabada,2
Dubai International Cricket Stadium,4,Delhi Capitals,Punjab Kings,RR Pant,Mohammed Shami,3
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"N Rana, KD Karthik, EJG Morgan, Shubman Gill, T Banton, RA Tripathi","CH Morris, Mohammed Siraj, NA Saini",17
Sheikh Zayed Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"D Padikkal, AJ Finch","CV Varun, PJ Cummins, M Prasidh Krishna",44
Sharjah Cricket Stadium,1,Mumbai Indians,Sunrisers Hyderabad,"Q de Kock, RG Sharma, SA Yadav, Ishan Kishan","Sandeep Sharma, JO Holder, S Nadeem",48
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Mumbai Indians,"WP Saha, DA Warner","DS Kulkarni, NM Coulter-Nile, JL Pattinson, RD Chahar",56
Sharjah Cricket Stadium,1,Rajasthan Royals,Chennai Super Kings,"SV Samson, SPD Smith, YBK Jaiswal","L Ngidi, SM Curran, DL Chahar",54
Sharjah Cricket Stadium,2,Chennai Super Kings,Rajasthan Royals,"M Vijay, SR Watson","S Gopal, JC Archer, JD Unadkat, TK Curran",53
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Delhi Capitals,"Shubman Gill, N Rana, RA Tripathi, KD Karthik","AR Patel, A Nortje, TU Deshpande, K Rabada",36
Sheikh Zayed Stadium,2,Delhi Capitals,Kolkata Knight Riders,"RR Pant, SS Iyer, S Dhawan, AM Rahane","KL Nagarkoti, PJ Cummins, M Prasidh Krishna",36
Dubai International Cricket Stadium,1,Punjab Kings,Sunrisers Hyderabad,"Mandeep Singh, KL Rahul, CH Gayle","KK Ahmed, Sandeep Sharma, JO Holder",47
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Punjab Kings,"JM Bairstow, DA Warner","Arshdeep Singh, Mohammed Shami, M Ashwin",52
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"D Padikkal, JR Philippe","KH Pandya, TA Boult, JJ Bumrah, JL Pattinson",54
Sheikh Zayed Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"Q de Kock, SA Yadav, Ishan Kishan","DW Steyn, CH Morris, Washington Sundar, Mohammed Siraj",45
Sharjah Cricket Stadium,1,Delhi Capitals,Rajasthan Royals,"RR Pant, PP Shaw, S Dhawan, MP Stoinis, SS Iyer","JC Archer, Kartik Tyagi, AJ Tye, VR Aaron",51
Sharjah Cricket Stadium,2,Rajasthan Royals,Delhi Capitals,"JC Buttler, SPD Smith, YBK Jaiswal","A Nortje, K Rabada, R Ashwin, HV Patel",41
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Chennai Super Kings,"Shubman Gill, N Rana, RA Tripathi","SM Curran, SN Thakur, DL Chahar",52
Sheikh Zayed Stadium,2,Chennai Super Kings,Kolkata Knight Riders,"SR Watson, AT Rayudu, F du Plessis","Shivam Mavi, PJ Cummins",54
Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"D Padikkal, V Kohli, AB de Villiers, JR Philippe","T Natarajan, Sandeep Sharma, JO Holder",30
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"WP Saha, MK Pandey, DA Warner","Mohammed Siraj, CH Morris, Washington Sundar, NA Saini",58
Sheikh Zayed Stadium,1,Mumbai Indians,Punjab Kings,"Q de Kock, RG Sharma, SA Yadav, Ishan Kishan","K Gowtham, Ravi Bishnoi, Mohammed Shami, SS Cottrell",41
Sheikh Zayed Stadium,2,Punjab Kings,Mumbai Indians,"KK Nair, KL Rahul, MA Agarwal, N Pooran","KH Pandya, TA Boult, JJ Bumrah, JL Pattinson",41
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Rajasthan Royals,"Shubman Gill, N Rana, SP Narine","JC Archer, JD Unadkat, AS Rajpoot, TK Curran",42
Dubai International Cricket Stadium,2,Rajasthan Royals,Kolkata Knight Riders,"SV Samson, JC Buttler, SPD Smith, RV Uthappa","Shivam Mavi, PJ Cummins, SP Narine",39
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Delhi Capitals,"D Padikkal, V Kohli, JR Philippe","A Nortje, DR Sams, R Ashwin, K Rabada",40
Sheikh Zayed Stadium,2,Delhi Capitals,Royal Challengers Bangalore,"PP Shaw, S Dhawan, AM Rahane","I Udana, CH Morris, Washington Sundar, Mohammed Siraj",53
Sheikh Zayed Stadium,1,Punjab Kings,Chennai Super Kings,"KL Rahul, CH Gayle, MA Agarwal","L Ngidi, SM Curran, SN Thakur, DL Chahar",53
Sheikh Zayed Stadium,2,Chennai Super Kings,Punjab Kings,"RD Gaikwad, F du Plessis","CJ Jordan, Mohammed Shami, Ravi Bishnoi, JDS Neesham",57
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"JM Bairstow, MK Pandey, DA Warner","JC Archer, S Gopal, JD Unadkat, Kartik Tyagi",26
Dubai International Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"JC Buttler, BA Stokes, SV Samson, SPD Smith, RV Uthappa","KK Ahmed, T Natarajan, Sandeep Sharma",36
Sheikh Zayed Stadium,1,Mumbai Indians,Kolkata Knight Riders,"Q de Kock, RG Sharma, SA Yadav","Shivam Mavi, SP Narine, S Sandeep Warrier, PJ Cummins",59
Sheikh Zayed Stadium,2,Kolkata Knight Riders,Mumbai Indians,"Shubman Gill, KD Karthik, SP Narine, N Rana","TA Boult, JJ Bumrah, JL Pattinson, RD Chahar",33
Sharjah Cricket Stadium,1,Chennai Super Kings,Delhi Capitals,"SR Watson, SM Curran, F du Plessis","AR Patel, K Rabada, TU Deshpande, A Nortje",39
Sharjah Cricket Stadium,2,Delhi Capitals,Chennai Super Kings,"PP Shaw, SS Iyer, S Dhawan, AM Rahane","SM Curran, SN Thakur, DL Chahar",41
Dubai International Cricket Stadium,1,Punjab Kings,Royal Challengers Bangalore,"KL Rahul, MA Agarwal","DW Steyn, UT Yadav, NA Saini",50
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Punjab Kings,"AJ Finch, JR Philippe, D Padikkal, AB de Villiers, V Kohli","Ravi Bishnoi, Mohammed Shami, SS Cottrell",40
Sheikh Zayed Stadium,1,Mumbai Indians,Rajasthan Royals,"Q de Kock, RG Sharma, SA Yadav","AS Rajpoot, TK Curran, Kartik Tyagi, JC Archer, S Gopal",57
Sheikh Zayed Stadium,2,Rajasthan Royals,Mumbai Indians,"JC Buttler, YBK Jaiswal, SV Samson, MK Lomror, SPD Smith","TA Boult, JJ Bumrah, JL Pattinson",31
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,"Shubman Gill, RA Tripathi","Basil Thampi, Sandeep Sharma, T Natarajan",48
Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,"JM Bairstow, KS Williamson","Shivam Mavi, AD Russell, PJ Cummins, CV Varun",58
Sheikh Zayed Stadium,3,Sunrisers Hyderabad,Kolkata Knight Riders,"Abdul Samad, DA Warner",LH Ferguson,2
Sheikh Zayed Stadium,4,Kolkata Knight Riders,Sunrisers Hyderabad,"KD Karthik, EJG Morgan",Rashid Khan,3
Dubai International Cricket Stadium,1,Punjab Kings,Chennai Super Kings,"KL Rahul, MA Agarwal","SM Curran, SN Thakur, DL Chahar",46
Dubai International Cricket Stadium,2,Chennai Super Kings,Punjab Kings,"SR Watson, F du Plessis","CJ Jordan, Harpreet Brar, Mohammed Shami, SS Cottrell",60
Sheikh Zayed Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"JC Buttler, SV Samson, MK Lomror, SPD Smith, RV Uthappa","YS Chahal, I Udana, Washington Sundar, NA Saini",38
Sheikh Zayed Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"D Padikkal, AJ Finch, V Kohli","S Gopal, JC Archer, JD Unadkat, TK Curran",50
Sharjah Cricket Stadium,1,Delhi Capitals,Kolkata Knight Riders,"PP Shaw, S Dhawan","Shivam Mavi, SP Narine, PJ Cummins, CV Varun",57
Sharjah Cricket Stadium,2,Kolkata Knight Riders,Delhi Capitals,"Shubman Gill, N Rana, SP Narine","A Nortje, MP Stoinis, K Rabada, R Ashwin, HV Patel",59
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"JM Bairstow, MK Pandey, DA Warner","SM Curran, SN Thakur, DL Chahar",42
Dubai International Cricket Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,"SR Watson, AT Rayudu, KM Jadhav, F du Plessis","T Natarajan, KK Ahmed, B Kumar",36
Dubai International Cricket Stadium,1,Mumbai Indians,Punjab Kings,"KH Pandya, Ishan Kishan, SA Yadav, Q de Kock, RG Sharma","GJ Maxwell, Arshdeep Singh, Mohammed Shami",43
Dubai International Cricket Stadium,2,Punjab Kings,Mumbai Indians,"KL Rahul, CH Gayle, MA Agarwal","KH Pandya, TA Boult, NM Coulter-Nile, JJ Bumrah",51
Dubai International Cricket Stadium,3,Punjab Kings,Mumbai Indians,"KL Rahul, N Pooran, DJ Hooda",JJ Bumrah,5
Dubai International Cricket Stadium,4,Mumbai Indians,Punjab Kings,"Q de Kock, RG Sharma",Mohammed Shami,5
Dubai International Cricket Stadium,5,Mumbai Indians,Punjab Kings,"HH Pandya, KA Pollard",CJ Jordan,11
Dubai International Cricket Stadium,6,Punjab Kings,Mumbai Indians,"CH Gayle, MA Agarwal",TA Boult,15
Dubai International Cricket Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,"SV Samson, BA Stokes, RV Uthappa","Sandeep Sharma, JO Holder, V Shankar",47
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,"JM Bairstow, V Shankar, MK Pandey, DA Warner","JC Archer, BA Stokes, Kartik Tyagi, AS Rajpoot",58
Dubai International Cricket Stadium,1,Delhi Capitals,Royal Challengers Bangalore,"PP Shaw, S Dhawan","YS Chahal, I Udana, Washington Sundar, NA Saini",63
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Delhi Capitals,"D Padikkal, AJ Finch, V Kohli, AB de Villiers","A Nortje, AR Patel, K Rabada, R Ashwin, HV Patel",43
Sharjah Cricket Stadium,1,Kolkata Knight Riders,Punjab Kings,"N Rana, KD Karthik, EJG Morgan, Shubman Gill, RA Tripathi","GJ Maxwell, Arshdeep Singh, Mohammed Shami",54
Sharjah Cricket Stadium,2,Punjab Kings,Kolkata Knight Riders,"Mandeep Singh, KL Rahul","CV Varun, PJ Cummins, M Prasidh Krishna",36
Sharjah Cricket Stadium,1,Chennai Super Kings,Mumbai Indians,"SM Curran, AT Rayudu, N Jagadeesan, F du Plessis, RA Jadeja, RD Gaikwad, MS Dhoni","KH Pandya, TA Boult, JJ Bumrah",24
Sharjah Cricket Stadium,2,Mumbai Indians,Chennai Super Kings,"Q de Kock, Ishan Kishan","Imran Tahir, JR Hazlewood, DL Chahar",52
Dubai International Cricket Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"SV Samson, BA Stokes, RV Uthappa","I Udana, Washington Sundar, CH Morris, NA Saini",52
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"D Padikkal, AJ Finch, V Kohli","JC Archer, S Gopal, JD Unadkat, Kartik Tyagi",47
